ID,Behaviour_ID,Behaviour_Result,Behaviour_Start_Time
Z0000006R,60021,crChkEmkVZ,1/1/2012 0:00
Z0000006R,60022,GZqfKAoZCS,1/1/2012 7:38
Z0000006R,60023,zvUKAFPuxt,2/1/2012 9:09
Z0000006R,60024,gfkSLIzaWI,5/1/2012 11:07
Z0000006R,60025,cpRlsAZvXh,6/1/2012 19:43
O0000007R,70011,SDTBmAUOKj,1/1/2012 0:00
O0000007R,70012,NRH djnvdz,1/1/2012 6:05
O0000007R,70013,SJlzjazEM ,1/1/2012 7:55
O0000007R,70014,kXVxoCAdnx,1/1/2012 13:49
O0000007R,70021,k  hntNMps,1/1/2012 0:00
O0000007R,70022,PwTffxEutA,1/1/2012 6:05
O0000007R,70023,hKjHjsrWMU,3/1/2012 8:27
O0000007R,70024,ljBOuIgUcD,6/1/2012 3:13
O0000007R,70031,SWlCpQBYaM,1/1/2012 0:00
O0000007R,70032,yajlskUNek,1/1/2012 3:27
O0000007R,70033,IqjdVNgqgv,1/1/2012 4:26
O0000007R,70034,UAzjlFRpSZ,1/1/2012 13:39
O0000007R,70035,suoMLpgvsA,3/1/2012 18:02
O0000007R,70036,ZkgmKbddaj,5/1/2012 4:00
O0000008D,80011,mNqEgRAPtx,1/1/2012 0:00
O0000008D,80012,uMeBeoGlks,4/1/2012 13:13
O0000008D,80013,QFwyjVEhdX,10/1/2012 17:22
O0000008D,80021,dmcGhZBeSM,1/1/2012 0:00
O0000008D,80022,HeCfariqQt,9/1/2012 0:41
O0000008D,80023,a HRkeGziu,24/1/2012 14:58
O0000008D,80031,JNJBmoucG ,1/1/2012 0:00
O0000008D,80032,cx gvQSIvg,7/1/2012 19:55
O0000008D,80041,kzalsPEzYD,1/1/2012 0:00
O0000008D,80042,jZGhOYeKLw,1/1/2012 7:55
O0000008D,80043,Q JfKkSLCX,2/1/2012 20:48
O0000008D,80044,IDZukJkXly,3/1/2012 2:02
O0000008D,80045,ueRnfROAHc,3/1/2012 9:50
E0000009Y,90011,ajolwdN Uq,1/1/2012 0:00
E0000009Y,90012,sxvJJXkuUz,3/1/2012 5:56
E0000009Y,90013,vmLpkwohjz,3/1/2012 6:55
E0000009Y,90014,LdsGdTFwxH,5/1/2012 10:15
E0000009Y,90015,vXvqbpGlAI,8/1/2012 16:16
E0000009Y,90021,KTehgOSsEl,1/1/2012 0:00
E0000009Y,90022,pVtnCQXgaL,4/1/2012 5:16
E0000009Y,90023,iXYnCcZJpX,5/1/2012 22:16
E0000009Y,90024,qlyrkzJDOa,8/1/2012 10:51
C0000010H,100011,yhNQWjdzQK,1/1/2012 0:00
C0000010H,100012,AcwTGfaOHw,1/1/2012 3:55
C0000010H,100013,yTnJSWNAot,2/1/2012 23:50
C0000010H,100014,IhtoStlMWX,3/1/2012 2:29
C0000010H,100015,Vygq zvVEF,3/1/2012 5:52
C0000010H,100016,OCVuDprrAN,3/1/2012 11:25
I0000011P,110011,hcqwu dPZi,1/1/2012 0:00
I0000011P,110012,qxThFBcSpL,1/1/2012 5:53
I0000011P,110013,SkxDaoQCTJ,2/1/2012 5:41
I0000011P,110014,AlmVnUkoJD,2/1/2012 12:06
B0000012A,120011,gNeIMwJuRR,1/1/2012 0:00
B0000012A,120012,ASrtPFwVRs,4/1/2012 8:42
B0000012A,120013,bjQqQIkSAe,7/1/2012 22:53
Z0000013H,130011,vxaZSnyTlE,1/1/2012 0:00
Z0000013H,130012,ImgT vdlOr,1/1/2012 4:54
Z0000013H,130013,xHZZa Ugbp,1/1/2012 5:24
Z0000013H,130014,QolLXnIaeJ,1/1/2012 8:20
Z0000013H,130015,sbRCmyUKqZ,2/1/2012 5:08
Z0000013H,130016,PpeXyITVqX,3/1/2012 5:48
Z0000013H,130021, UWqLa uEp,1/1/2012 0:00
Z0000013H,130022,ISlVZOmJAR,1/1/2012 10:10
Z0000013H,130023,PlcgaaPgSO,2/1/2012 15:55
Z0000013H,130024,lLCwS npLk,2/1/2012 16:32
Z0000013H,130025,YqflVzhkwT,3/1/2012 1:27
Z0000014P,140011,jYKAcYMman,1/1/2012 0:00
Z0000014P,140012,dPLTbnVLgu,5/1/2012 0:07
Z0000014P,140013,bxwVmhfNYI,6/1/2012 6:41
Z0000014P,140021,aajOCYMHhd,1/1/2012 0:00
Z0000014P,140022,PNQxakiVNd,4/1/2012 1:59
Z0000014P,140023,KzpbrGRAj ,4/1/2012 20:17
U0000015G,150011,BhwbCvHimM,1/1/2012 0:00
U0000015G,150012,zGJrDjCYgj,2/1/2012 12:12
U0000015G,150013,rQsATQETNw,2/1/2012 12:53
U0000015G,150014,LAAYGMordV,4/1/2012 23:50
U0000015G,150021,mkTxkI Jse,1/1/2012 0:00
U0000015G,150022,qhHSmuFjBk,1/1/2012 16:16
U0000015G,150023,IEXQhVxrkp,3/1/2012 16:25
C0000016A,160011,yFujzbzQdL,1/1/2012 0:00
C0000016A,160012,iYeLHggX M,1/1/2012 6:21
C0000016A,160013,WIxlwMVxlh,1/1/2012 8:16
C0000016A,160014, xDecaGvAC,1/1/2012 10:44
C0000016A,160015,iI ZTIVHWS,1/1/2012 22:47
C0000016A,160021, dwrleRqNs,1/1/2012 0:00
C0000016A,160022,yNiFbsUFbQ,4/1/2012 21:00
C0000016A,160023,NNRNXIoYiV,8/1/2012 3:15
C0000016A,160024,wKpmlTGYAM,10/1/2012 3:21
C0000016A,160025,fChfUUNfbQ,13/1/2012 1:39
F0000017O,170011,kXYjrbDtbO,1/1/2012 0:00
F0000017O,170012,rAOURgjSBK,3/1/2012 9:12
F0000017O,170013,dEgEpWgtoY,3/1/2012 22:01
F0000017O,170014,pJRAMtNgYT,6/1/2012 19:38
F0000017O,170021,zjlMlgdmrr,1/1/2012 0:00
F0000017O,170022,lCUXRYjDIV,1/1/2012 0:22
F0000017O,170023,wCWp FdYon,1/1/2012 0:43
F0000017O,170024,EkiWfKdynL,1/1/2012 0:49
F0000017O,170025,VmsZGBuOdx,1/1/2012 1:44
F0000017O,170031,qApXKmUJwK,1/1/2012 0:00
F0000017O,170032,iSNPChunxc,1/1/2012 2:04
F0000017O,170033,TbvDFbGuMz,3/1/2012 1:02
F0000017O,170034,sbSyoJWmBd,4/1/2012 13:25
I0000018X,180011,eTniYTtawp,1/1/2012 0:00
I0000018X,180012,pdZLDmAcaR,2/1/2012 3:09
I0000018X,180013,OyVoXKLCrf,2/1/2012 15:28
I0000018X,180014,jNMxvNkiRl,2/1/2012 16:11
X0000019A,190011,EuXRbLMunM,1/1/2012 0:00
X0000019A,190012,eMzXGwYGZJ,1/1/2012 0:17
X0000019A,190013,wcdsSyYEIh,2/1/2012 18:16
X0000019A,190014,evdSLgsrbt,3/1/2012 8:03
X0000019A,190015,AjuPtUSzdo,3/1/2012 16:48
L0000020Y,200011,TGH xzZAlg,1/1/2012 0:00
L0000020Y,200012,xiyUbXbIRL,1/1/2012 21:21
L0000020Y,200013,lXkhpcpaTE,4/1/2012 20:53
L0000020Y,200014,mwdiMQLDhs,5/1/2012 14:50
L0000020Y,200021,VAjQFGIJSx,1/1/2012 0:00
L0000020Y,200022,XjUOhuUCoS,1/1/2012 5:28
L0000020Y,200023,DbRrsRwjqQ,1/1/2012 13:39
L0000020Y,200024,cYpxeGvHKq,2/1/2012 19:29
L0000020Y,200025,rSFzDUlieY,3/1/2012 16:19
M0000021E,210011,eDqoFzwAhD,1/1/2012 0:00
M0000021E,210012,WaDzveoRzI,1/1/2012 0:29
M0000021E,210013,SENoOPmZJj,1/1/2012 0:40
M0000021E,210014,tfKKpIfmCe,1/1/2012 2:31
M0000021E,210015,PEEDfzhxPL,1/1/2012 3:59
M0000021E,210016,vtKmqAILrF,1/1/2012 4:46
M0000021E,210021,yOMBvmqggq,1/1/2012 0:00
M0000021E,210022,YdBOkncbkq,2/1/2012 5:20
M0000021E,210023,daHudkYUOA,3/1/2012 1:54
M0000021E,210024,dOUnxqAubN,3/1/2012 17:10
M0000021E,210031,zDZkiBPBRn,1/1/2012 0:00
M0000021E,210032,SSIVh kyXS,1/1/2012 4:57
M0000021E,210033,sWyIzsyeOO,2/1/2012 6:08
M0000021E,210034,dLMSgMygNb,2/1/2012 23:30
V0000022S,220011,vBejvUlkdG,1/1/2012 0:00
V0000022S,220012,JNkWMOVEde,1/1/2012 4:52
V0000022S,220013,lWrCTlHKep,3/1/2012 11:36
V0000022S,220014,ubyFggdlMg,5/1/2012 0:13
V0000022S,220021,vVRaYupSRu,1/1/2012 0:00
V0000022S,220022,UPPSeEeiaE,2/1/2012 21:09
V0000022S,220023,zpvmBVtQrX,3/1/2012 12:45
V0000022S,220024,pmOLRyfoNz,5/1/2012 5:10
V0000022S,220025,oayrrjoiCv,5/1/2012 6:00
E0000023O,230011,aWSoBBKMPU,1/1/2012 0:00
E0000023O,230012,JCmWVNricL,1/1/2012 7:23
E0000023O,230013,ACgNWTNjfc,2/1/2012 12:32
E0000023O,230014,KgoqMwcITQ,10/1/2012 9:56
L0000024J,240011, RDGInVXJo,1/1/2012 0:00
L0000024J,240012,lZkACnunxV,1/1/2012 1:07
L0000024J,240013,eFNYHxhpXE,3/1/2012 18:04
L0000024J,240014,FrjqsbPLdC,10/1/2012 12:05
L0000024J,240021,iEmonTSXHF,1/1/2012 0:00
L0000024J,240022,lrXNPlPARb,15/1/2012 5:17
L0000024J,240031,IkXaYKOToW,1/1/2012 0:00
L0000024J,240032,WlgYuuELhs,2/1/2012 19:06
L0000024J,240041,BcjiDWMIBU,1/1/2012 0:00
L0000024J,240042, AKctVDNvs,1/1/2012 1:07
L0000024J,240043,stqIMKgHdi,1/1/2012 5:46
L0000024J,240044,ufFHMl YMH,2/1/2012 3:40
L0000024J,240045,kIrvqSMMbY,2/1/2012 15:53
L0000024J,240046,zrLJoQaNqo,2/1/2012 22:31
L0000024J,240047,bpzDLOWZRa,2/1/2012 23:37
L0000024J,240048,faPNpboPHS,4/1/2012 7:09
L0000024J,240049,erfWKKmVOf,4/1/2012 15:16
L0000024J,2400410,vlXhOWXBHK,5/1/2012 9:37
L0000024J,240051,mZdyiRuAnQ,1/1/2012 0:00
L0000024J,240052,CocTRLCqqN,1/1/2012 2:42
L0000024J,240053,sLskkCJbZA,1/1/2012 3:31
L0000024J,240054,VvxmzRCoht,1/1/2012 4:14
L0000024J,240055,QOPWMSvRxB,1/1/2012 17:12
L0000024J,240061,CDxbHODTgt,1/1/2012 0:00
L0000024J,240062,tgxK ICJxQ,1/1/2012 6:37
L0000024J,240063,AMFLglTIpB,1/1/2012 10:17
L0000024J,240064,SZ yroXvjP,1/1/2012 11:40
L0000024J,240065,VVMKIwOLSv,1/1/2012 13:08
M0000025L,250011,cODHdAzjfR,1/1/2012 0:00
M0000025L,250012,yXRilJeuSq,1/1/2012 0:48
M0000025L,250013,hePFnIJRse,3/1/2012 5:52
M0000025L,250014,MFujRIcqPd,4/1/2012 19:57
M0000025L,250021,ojQEWMyyEK,1/1/2012 0:00
M0000025L,250022,ypeNaxpZOS,3/1/2012 7:33
M0000025L,250023,hbEPhlCFNk,3/1/2012 11:53
M0000025L,250024,zvM zOLlaO,3/1/2012 12:57
M0000025L,250025,EXBFxFRgLY,4/1/2012 7:54
M0000025L,250026,sFxcajBawE,4/1/2012 14:30
C0000026Q,260011,v hrpbOBrn,1/1/2012 0:00
C0000026Q,260012,RFtTQhhWxn,6/1/2012 5:00
E0000027D,270011,ZvHPhjIPYq,1/1/2012 0:00
E0000027D,270012,VfjmzvRmAu,1/1/2012 9:08
E0000027D,270013,HLkIwIdoXd,3/1/2012 12:27
E0000027D,270014,WAvOhTDkOC,6/1/2012 14:49
E0000027D,270015,bZXmgJfgSo,7/1/2012 1:06
E0000027D,270016,LDFQTactu ,9/1/2012 4:43
E0000027D,270021,IUPFpLqDGX,1/1/2012 0:00
E0000027D,270022,QBAzUENjSc,4/1/2012 10:42
E0000027D,270023,nKG DFVIEb,10/1/2012 8:31
E0000027D,270031,SRMuRUWOhH,1/1/2012 0:00
E0000027D,270032,KEAnmimh o,2/1/2012 21:13
E0000027D,270033,xhQNUtIvoU,3/1/2012 22:07
E0000027D,270034,dNPsfOxbKg,4/1/2012 15:43
E0000027D,270041,uuASBeGaxR,1/1/2012 0:00
E0000027D,270042, OgOeKwaSu,1/1/2012 6:17
E0000027D,270043,myInWUwcZQ,2/1/2012 2:34
E0000027D,270044,OWWlgfXnaL,2/1/2012 5:20
A0000028P,280011,FyImDRLxGF,1/1/2012 0:00
A0000028P,280012,gXonybHLCd,2/1/2012 11:16
A0000028P,280013,jVzOsPJHej,2/1/2012 14:00
R0000029F,290011,eYYfcBMfXS,1/1/2012 0:00
R0000029F,290012,dXFSYRFeBP,1/1/2012 18:40
R0000029F,290013,nugoXqKZlm,1/1/2012 18:57
R0000029F,290014,PvTjIyzfUD,2/1/2012 9:45
R0000029F,290015,qnrMjeCVPA,2/1/2012 13:09
D0000030S,300011,DuFVuDKInb,1/1/2012 0:00
D0000030S,300012,wUqjRazcSj,14/1/2012 21:43
I0000031F,310011,ltCPQnkCae,1/1/2012 0:00
I0000031F,310012,otKKcAvVPV,5/1/2012 22:36
I0000031F,310021,kLEtwePRsy,1/1/2012 0:00
I0000031F,310022,eIcmoxFClH,3/1/2012 2:58
I0000031F,310023,q VdnqJlen,4/1/2012 6:15
I0000031F,310024,nrnLCzWpzF,5/1/2012 14:53
I0000031F,310025,sklNmTXGOL,5/1/2012 18:51
I0000032M,320011,QQhqrzPyPE,1/1/2012 0:00
I0000032M,320012,pgNTCJeXwi,2/1/2012 8:09
I0000032M,320013,PIKMHMnHHZ,2/1/2012 10:12
I0000032M,320014,bnlvsPNWTJ,3/1/2012 8:36
O0000033J,330011,EpfEzotBYn,1/1/2012 0:00
O0000033J,330012,vNQtDXA iD,14/1/2012 13:39
O0000033J,330013,RqrcNvoFeK,17/1/2012 12:34
K0000034W,340011, VHfXHkLcY,1/1/2012 0:00
K0000034W,340012,tmAdQwgVZX,1/1/2012 0:48
K0000034W,340013,DpADVzTYnF,1/1/2012 0:51
K0000034W,340014,NJYwkIxlEq,1/1/2012 1:18
K0000034W,340015,PWxLUH wRu,1/1/2012 2:29
K0000034W,340021,WjT fdTNnZ,1/1/2012 0:00
K0000034W,340022,eLCpDnTWpV,1/1/2012 0:08
K0000034W,340023,dsSxIdqNON,1/1/2012 1:35
K0000034W,340024,butdIiQkXc,1/1/2012 3:19
N0000035Y,350011,RhiPcEIlwz,1/1/2012 0:00
N0000035Y,350012,CJhIbOiNMh,1/1/2012 22:38
N0000035Y,350013,YAxMaYJziB,7/1/2012 15:48
N0000035Y,350014,FNKRSkxFJw,7/1/2012 23:45
N0000035Y,350015,OtkKjyFZyY,9/1/2012 14:34
N0000035Y,350021,wIiswiCKoa,1/1/2012 0:00
N0000035Y,350022,jmlMsJPIOO,2/1/2012 8:36
T0000036P,360011,IeKGdOeDoe,1/1/2012 0:00
T0000036P,360012,PntjzAQgFT,4/1/2012 9:24
T0000036P,360013,KdsciTKNzp,5/1/2012 20:58
Q0000037B,370011,HZNuX KQan,1/1/2012 0:00
Q0000037B,370012,GnjAayPTdb,10/1/2012 22:08
Q0000037B,370013,awpjfrfQzx,4/2/2012 7:23
I0000038J,380011,nxRLEeuYVe,1/1/2012 0:00
I0000038J,380012,wOAUEjQodK,1/1/2012 8:31
I0000038J,380013,xkdwhOLSHo,1/1/2012 12:53
I0000038J,380014,anGPnkZsuC,1/1/2012 14:35
I0000038J,380021,faopiewq S,1/1/2012 0:00
I0000038J,380022,IEhJCxDmQf,3/1/2012 12:35
I0000038J,380023,OWAyHKMmOT,3/1/2012 13:51
I0000038J,380024,OPmuJtZKDf,4/1/2012 19:30
I0000038J,380031,JhpkEjwEGn,1/1/2012 0:00
I0000038J,380032,mnJVdxfsWU,1/1/2012 7:17
I0000038J,380033,uzZpMwDNpP,2/1/2012 5:03
I0000038J,380034,fspeoQJLDI,2/1/2012 12:53
I0000038J,380035,pOfmjc DAN,3/1/2012 7:42
I0000038J,380036,odYByKqfhP,3/1/2012 8:58
I0000038J,380041,KnHtpJcQju,1/1/2012 0:00
I0000038J,380042,b vGNJwHfB,1/1/2012 3:01
I0000038J,380043,PkwCwaozQq,1/1/2012 3:48
I0000038J,380044,EfSMuxvdGW,1/1/2012 4:15
I0000038J,380051,QClqvOIrRZ,1/1/2012 0:00
I0000038J,380052,vqFhNSxNkT,1/1/2012 0:29
I0000038J,380053,SOdPWUfhTF,1/1/2012 2:15
I0000038J,380054,LkTLZyhwbU,1/1/2012 3:58
I0000038J,380055,PP uhZDdFY,1/1/2012 4:53
I0000038J,380056,VRSsISnXld,1/1/2012 9:03
U0000039O,390011,gpvJZXRGrO,1/1/2012 0:00
U0000039O,390012,AIkg WA Bx,12/1/2012 6:29
U0000039O,390013,fJiaDTsOPV,15/1/2012 11:14
U0000039O,390014,cBjcsXezZe,22/1/2012 3:34
U0000039O,390015,QmBhIQjHET,8/2/2012 10:36
U0000039O,390021,UkrBmPVGZG,1/1/2012 0:00
U0000039O,390022,GAsKRUpkMP,1/1/2012 15:24
U0000039O,390023,yXhmaexyqi,2/1/2012 9:35
U0000039O,390031,vbnnDlqiUc,1/1/2012 0:00
U0000039O,390032,bsfThNFylI,1/1/2012 0:23
U0000039O,390033,oKwdllhQn ,1/1/2012 22:00
U0000039O,390034,tCDEOnbwtP,4/1/2012 18:32
U0000039O,390041,aQLNftYnpT,1/1/2012 0:00
U0000039O,390042,DCULSOSPvR,4/1/2012 14:40
U0000039O,390043,BHgMgZugap,6/1/2012 2:47
X0000040V,400011,jtZFfbbBVA,1/1/2012 0:00
X0000040V,400012,XxIsSlmaqA,1/1/2012 9:27
X0000040V,400013,pqBfSeKC Y,1/1/2012 9:40
X0000040V,400021,dAmPvoMzJV,1/1/2012 0:00
X0000040V,400022,cQLNHgcHHP,1/1/2012 7:07
X0000040V,400023,lIjIQDfXZD,1/1/2012 10:32
X0000040V,400031,lDihCsXdOP,1/1/2012 0:00
X0000040V,400032,laCgfNvimX,13/1/2012 13:26
X0000040V,400041,xcGYOQipny,1/1/2012 0:00
X0000040V,400042,NWBPnFrdIc,1/1/2012 23:06
X0000040V,400043,qUhOBMMQhE,3/1/2012 5:10
X0000040V,400044,gTAglVkkDV,3/1/2012 12:33
A0000041Y,410011,KsCtLrmuNX,1/1/2012 0:00
A0000041Y,410012,uxoYEghRrQ,1/1/2012 6:19
A0000041Y,410013,OU uLjVQgt,1/1/2012 10:07
A0000041Y,410014,vcydtjMLSb,2/1/2012 18:50
A0000041Y,410015,jvoKqkZPDS,3/1/2012 3:25
A0000041Y,410021,JDwYehmScU,1/1/2012 0:00
A0000041Y,410022,drefkuElzF,1/1/2012 10:39
A0000041Y,410023,VatBmpAPmV,2/1/2012 10:40
O0000042W,420011,o WVSrlQIi,1/1/2012 0:00
O0000042W,420012,KBuGYNHBjZ,2/1/2012 22:33
O0000042W,420013,GcGayKnFem,7/1/2012 22:39
O0000042W,420021,LgVqeKYUxo,1/1/2012 0:00
O0000042W,420022,PaExQsHrzw,4/1/2012 7:33
O0000042W,420023,jYYCTjJYqB,6/1/2012 3:07
S0000043X,430011,XrYKfgBoeJ,1/1/2012 0:00
S0000043X,430012,XAeGtoheup,8/1/2012 23:47
S0000043X,430021,xVYqGKkrds,1/1/2012 0:00
S0000043X,430022,uDjCfuqtQF,3/1/2012 23:16
S0000043X,430023,xNbvNTWBWd,7/1/2012 0:37
S0000043X,430024,TjLlAuxmNs,8/1/2012 5:08
S0000043X,430025,aOjXsAQkGj,9/1/2012 4:15
S0000043X,430026,LhydaxEvVL,9/1/2012 16:40
S0000043X,430027,JiaXOvrOGz,19/1/2012 15:27
Y0000044P,440011,jbOQQoaRSE,1/1/2012 0:00
Y0000044P,440012,glMGBJpoLl,1/1/2012 10:22
Y0000044P,440013,kVTNrLVnII,1/1/2012 10:36
Y0000044P,440014,XqcjJGFqqh,2/1/2012 1:11
Y0000044P,440015,HOookEqmxr,2/1/2012 6:15
Y0000044P,440016,hm zkSBdRi,2/1/2012 9:50
Y0000044P,440021,ORzeNFSKzC,1/1/2012 0:00
Y0000044P,440022,O zsLPiYwp,1/1/2012 22:38
Y0000044P,440023,oIVcJQbNpD,3/1/2012 21:16
Y0000044P,440024,JNDlAozwrG,8/1/2012 3:33
Y0000044P,440031,pcYvcuzGSe,1/1/2012 0:00
Y0000044P,440032,HboDJIuiaX,1/1/2012 0:27
Y0000044P,440033,pMOspZoCLJ,1/1/2012 5:08
Y0000044P,440034,ztWHFILbPf,1/1/2012 16:38
M0000045F,450011,kvrNhFHkWG,1/1/2012 0:00
M0000045F,450012,BoIdyeinQl,2/1/2012 4:00
M0000045F,450013,UhaPnFvIMA,2/1/2012 15:56
M0000045F,450021,ngFNPTuLPA,1/1/2012 0:00
M0000045F,450022,BSXljqaDDe,9/1/2012 0:11
M0000045F,450023,OsHnFarohK,11/1/2012 18:05
M0000045F,450024,cbUPOfSYzy,14/1/2012 3:35
M0000045F,450031,aFBviZgqLP,1/1/2012 0:00
M0000045F,450032,CzqQdRoIja,6/1/2012 1:06
Y0000046U,460011,bTDhzpMuYQ,1/1/2012 0:00
Y0000046U,460012,eFnHnXzOOX,2/1/2012 14:17
Y0000046U,460013,FnXYXakanP,5/1/2012 17:33
Y0000046U,460014,UXzOCM vfs,5/1/2012 18:24
Y0000046U,460015,ubPwUEeXRa,6/1/2012 1:22
Y0000046U,460021,HAcacwsVGQ,1/1/2012 0:00
Y0000046U,460022,yMGNoltKwU,2/1/2012 19:28
Y0000046U,460023,BxQCLXPUOF,2/1/2012 21:00
Y0000046U,460024,RvhDveRd s,4/1/2012 0:03
Y0000046U,460025,alyyGkHUEu,4/1/2012 1:14
Y0000046U,460026,jzcdivqobg,5/1/2012 8:03
Y0000046U,460027,qYkRasopFH,6/1/2012 5:33
Y0000046U,460031,uVIJiVBGXN,1/1/2012 0:00
Y0000046U,460032,hOoopojkI ,4/1/2012 21:42
Y0000046U,460033,hseDozpuoa,5/1/2012 19:09
Y0000046U,460041,Ruc pehlxW,1/1/2012 0:00
Y0000046U,460042,ZpUMBGndHT,1/1/2012 21:59
Y0000046U,460043,vPPdkObvNR,2/1/2012 13:47
Y0000046U,460044,BbrsEjYTAC,3/1/2012 0:22
Y0000046U,460045,nOBMdKORKj,3/1/2012 17:38
C0000047Z,470011,mZLxvMiPOb,1/1/2012 0:00
C0000047Z,470012,fcOBkzjfLs,1/1/2012 17:01
C0000047Z,470013,hMiHUyexdU,1/1/2012 21:06
C0000047Z,470014,GesdfdncyE,2/1/2012 3:47
I0000048H,480011,pPJsWOVqTN,1/1/2012 0:00
I0000048H,480012,khXTUxHRaI,6/1/2012 17:56
I0000048H,480013,rGiJfAEccJ,11/1/2012 0:28
I0000048H,480014,MRoxOftkiM,11/1/2012 16:48
I0000048H,480021,mvpBzBySXG,1/1/2012 0:00
I0000048H,480022,nkADEwkBsD,4/1/2012 12:17
I0000048H,480023,KLDxO Nnrg,13/1/2012 21:22
Q0000049A,490011,jPSxaCGLDW,1/1/2012 0:00
Q0000049A,490012,Bul ZyLhRV,1/1/2012 14:33
Q0000049A,490013,tAYKjyGIsq,1/1/2012 21:16
Q0000049A,490014,kiLAnzaDwp,2/1/2012 13:53
P0000050S,500011,HksevFmpWL,1/1/2012 0:00
P0000050S,500012,BjSCyajWSQ,2/1/2012 22:52
P0000050S,500013,jsWvubUpiL,3/1/2012 17:15
P0000050S,500021,hvwPAGDbQY,1/1/2012 0:00
P0000050S,500022, Nbt wKmst,1/1/2012 4:11
P0000050S,500023,VykyTQAvek,1/1/2012 5:00
P0000050S,500024,FJslzqhekj,1/1/2012 7:08
E0000051B,510011,esNiLKlMkR,1/1/2012 0:00
E0000051B,510012,dndGUYniny,6/1/2012 3:25
E0000051B,510013, ejSCLwQWB,8/1/2012 13:50
E0000051B,510014,cpFzKiLHkX,8/1/2012 23:58
